Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2025-10-11,8:00 PM,10:00 PM,Vancouver Canucks,1,Edmonton Oilers,3,Regulation,Thatcher Demko,Calvin Pickard,6,-110,-110,150,-180,-1.5,-170,145
2025-10-11,8:00 PM,10:00 PM,Anaheim Ducks,7,San Jose Sharks,6,OT,Petr Mrazek,Yaroslav Askarov,6.5,-115,-105,-130,110,1.5,185,-225
2025-10-11,8:00 PM,10:00 PM,Vegas Golden Knights,1,Seattle Kraken,2,OT,Adin Hill,Joey Daccord,6,-115,-105,-185,155,1.5,140,-165
2025-10-12,5:00 PM,7:00 PM,Washington Capitals,1,New York Rangers,0,Regulation,Charlie Lindgren,Jonathan Quick,6,-110,-110,-110,-110,1.5,225,-275
2025-10-13,10:30 AM,12:30 PM,Colorado Avalanche,3,Buffalo Sabres,1,Regulation,Scott Wedgewood,Alex Lyon,6.5,-110,-110,-180,150,1.5,140,-165
2025-10-13,11:00 AM,1:00 PM,Tampa Bay Lightning,4,Boston Bruins,3,Regulation,Jonas Johansson,Joonas Korpisalo,6,-120,100,-160,135,1.5,160,-190
2025-10-13,11:00 AM,1:00 PM,Nashville Predators,4,Ottawa Senators,1,Regulation,Juuse Saros,Linus Ullmark,5.5,-125,105,145,-170,-1.5,-180,150
2025-10-13,11:00 AM,1:00 PM,Winnipeg Jets,5,New York Islanders,2,Regulation,Eric Comrie,Ilya Sorokin,5.5,-125,105,-110,-110,1.5,220,-270
2025-10-13,12:00 PM,2:00 PM,Detroit Red Wings,3,Toronto Maple Leafs,2,Regulation,Cam Talbot,Anthony Stolarz,6,-115,-105,140,-165,-1.5,-180,150
2025-10-13,5:00 PM,7:00 PM,Florida Panthers,2,Philadelphia Flyers,5,Regulation,Daniil Tarasov,Dan Vladar,5.5,-125,105,-150,125,1.5,175,-210
2025-10-13,5:00 PM,7:00 PM,New Jersey Devils,3,Columbus Blue Jackets,2,Regulation,Jake Allen,Jet Greaves,6.5,-105,-115,-125,105,1.5,195,-240
2025-10-13,5:30 PM,7:30 PM,St. Louis Blues,5,Vancouver Canucks,2,Regulation,Jordan Binnington,Kevin Lankinen,5.5,-115,-105,100,-120,-1.5,-250,205
2025-10-13,6:00 PM,8:00 PM,Los Angeles Kings,3,Minnesota Wild,4,SO,Darcy Kuemper,Jesper Wallstedt,5.5,-120,100,-115,-105,1.5,220,-270
2025-10-13,6:30 PM,8:30 PM,Utah Mammoth,1,Chicago Blackhawks,3,Regulation,Vitek Vanecek,Spencer Knight,6,-110,-110,-165,140,1.5,155,-185
2025-10-14,5:00 PM,7:00 PM,Nashville Predators,4,Toronto Maple Leafs,7,Regulation,Justus Annunen,Cayden Primeau,6.5,-105,-115,150,-180,-1.5,-165,140
2025-10-14,5:00 PM,7:00 PM,Seattle Kraken,4,Montreal Canadiens,5,OT,Joey Daccord,Samuel Montembeault,6,-110,-110,135,-160,-1.5,-185,155
2025-10-14,5:00 PM,7:00 PM,Edmonton Oilers,2,New York Rangers,0,Regulation,Stuart Skinner,Igor Shesterkin,6,-105,-115,-135,115,1.5,185,-225
2025-10-14,5:00 PM,7:00 PM,Tampa Bay Lightning,2,Washington Capitals,3,OT,Andrei Vasilevskiy,Logan Thompson,6,-110,-110,-115,-105,-1.5,-270,220
